Department,Course,Section,Title,Course Division,Credits,Limit,Enrolled,Start Date,End Date,Offer Days1,Time From1,Time To1,Instructor1,Room Abbreviation1,Room Number1,Campus1,Offer Days2,Time From2,Time To2,Instructor2,Room Abbreviation2,Room Number2,Campus2
ACCT,21010,12,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,28,1/13/2020,5/8/2020,MWF,10:00AM,10:50AM,Bosnick James,HARMN,233,MAIN,,,,,,,
ACCT,21010,13,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,30,1/13/2020,5/8/2020,MWF,12:00PM,12:50PM,Bosnick James,HARMN,137,MAIN,,,,,,,
ACCT,21010,1HWP1,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,6,1/13/2020,3/8/2020,W,6:00PM,10:00PM,Manion Jessica,WPORT,252,WESTPORT,,,,,,,
ACCT,21010,21,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,30,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Quinn John,HARMN,137,MAIN,,,,,,,
ACCT,21010,22,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,26,1/13/2020,5/8/2020,TR,1:00PM,2:15PM,Quinn John,HARMN,145,MAIN,,,,,,,
ACCT,21010,BV12,Principles of Financial Accounting,BV-BUSINESS & ENTREPRENEURSHIP,3,25,10,1/13/2020,5/8/2020,MW,9:30AM,10:45AM,Glass Alan,BLV-L,104,BELLEVILLE,,,,,,,
ACCT,21010,OL11,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,19,1/13/2020,3/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL12,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,13,1/13/2020,3/8/2020,ARR,,,Willbrand Kim,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL21,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,21,3/16/2020,5/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL22,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,0,0,3/16/2020,5/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21011,11,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,32,1/13/2020,5/8/2020,MWF,10:00AM,10:50AM,Coleman Steve,HARMN,131,MAIN,,,,,,,
ACCT,21011,12,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,29,1/13/2020,5/8/2020,MWF,11:00AM,11:50AM,Quinn John,HARMN,131,MAIN,,,,,,,
ACCT,21011,14,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,28,1/13/2020,5/8/2020,TR,9:30AM,10:45AM,Weber Abby,HARMN,131,MAIN,,,,,,,
ACCT,21011,21,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,31,1/13/2020,5/8/2020,TR,1:00PM,2:15PM,Willbrand Kim,HARMN,229,MAIN,,,,,,,
ACCT,21011,2HLF1,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,0,0,3/16/2020,5/8/2020,T,6:00PM,10:00PM,Staff Staff,HARMN,121,MAIN,,,,,,,
ACCT,21011,2HSL1,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,0,0,3/16/2020,5/8/2020,R,6:00PM,10:00PM,Staff Staff,OPO,15,ST LOUIS CITY,,,,,,,
ACCT,21011,2HWP1,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,5,3/16/2020,5/8/2020,W,6:00PM,10:00PM,Manion Jessica,WPORT,252,WESTPORT,,,,,,,
ACCT,21011,BV11,Principles of Managerial Accounting,BV-BUSINESS & ENTREPRENEURSHIP,3,25,8,1/13/2020,5/8/2020,MW,12:30PM,1:45PM,Glass Alan,BLV-L,117,BELLEVILLE,,,,,,,
ACCT,21011,OL11,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,19,1/13/2020,3/8/2020,ARR,,,Kyle Timothy,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21011,OL12,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,12,1/13/2020,3/8/2020,ARR,,,Weber Abby,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21011,OL21,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,0,0,3/16/2020,5/8/2020,ARR,,,Weber Abby,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21011,OL22,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,19,3/16/2020,5/8/2020,ARR,,,Weber Abby,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,31012,11,Accounting Cycle Analyses,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,24,1/13/2020,5/8/2020,MWF,12:00PM,12:50PM,Willbrand Kim,HARMN,234,MAIN,,,,,,,
ACCT,31012,OL11,Accounting Cycle Analyses,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,6,1/13/2020,3/8/2020,ARR,,,Mack Jennifer,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,31020,11,Financial Accounting and Reporting I,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,22,1/13/2020,5/8/2020,TR,9:30AM,10:45AM,Ulrich Kim,HARMN,250,MAIN,,,,,,,
ACCT,31020,OL21,Financial Accounting and Reporting I,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,4,3/16/2020,5/8/2020,ARR,,,Ulrich Kim,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,31021,11,Financial Accounting and Reporting II,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,13,1/13/2020,5/8/2020,MWF,11:00AM,11:50AM,Coleman Steve,HARMN,254,MAIN,,,,,,,
